"","Latitude","Longitude","Arithmetic.Mean"
"1950275",18.334399,-64.795972,0.451
"1950276",18.334399,-64.795972,0.353
"1950277",18.334399,-64.795972,0.364
"1950278",18.334399,-64.795972,0.698
"1950279",18.334399,-64.795972,0.374
"1950280",18.334399,-64.795972,0.355
"1950281",18.334399,-64.795972,0.51
"1950282",18.334399,-64.795972,0.36
"1950283",18.334399,-64.795972,0.533
"1950284",18.334399,-64.795972,0.499
"1950285",18.334399,-64.795972,0.434
"1950286",18.334399,-64.795972,1.338
"1950287",18.334399,-64.795972,0.426
"1950288",18.334399,-64.795972,0.34
"1950289",18.334399,-64.795972,0.317
"1950290",18.334399,-64.795972,0.599
"1950291",18.334399,-64.795972,1.003
"1950292",18.334399,-64.795972,0.355
"1950293",18.334399,-64.795972,0.355
"1950294",18.334399,-64.795972,0.462
"1950295",18.334399,-64.795972,0.488
"1950296",18.334399,-64.795972,1.752
"1950297",18.334399,-64.795972,0.563
"1950298",18.334399,-64.795972,0.521
"1950299",18.334399,-64.795972,0.241
"1950300",18.334399,-64.795972,0.849
"1950301",18.334399,-64.795972,0.619
"1950302",18.334399,-64.795972,0.538
"1950303",18.334399,-64.795972,0.58
"1950304",18.334399,-64.795972,0.862
"1950305",18.334399,-64.795972,1.406
"1950306",18.334399,-64.795972,0.747
"1950307",18.334399,-64.795972,2.032
"1950308",18.334399,-64.795972,2.973
"1950309",18.334399,-64.795972,2.013
"1950310",18.334399,-64.795972,1.459
"1950311",18.334399,-64.795972,0.616
"1950312",18.334399,-64.795972,0.834
"1950313",18.334399,-64.795972,0.47
"1950314",18.334399,-64.795972,0.759
"1950315",18.334399,-64.795972,0.755
"1950316",18.334399,-64.795972,0.701
"1950317",18.334399,-64.795972,0.766
"1950318",18.334399,-64.795972,1.062
"1950319",18.334399,-64.795972,0.731
"1950320",18.334399,-64.795972,0.506
"1950321",18.334399,-64.795972,0.592
"1950322",18.334399,-64.795972,0.836
"1950323",18.334399,-64.795972,0.725
"1950324",18.334399,-64.795972,1.592
"1950325",18.334399,-64.795972,0.47
"1950326",18.334399,-64.795972,0.545
"1950327",18.334399,-64.795972,0.853
"1950328",18.334399,-64.795972,0.666
"1950329",18.334399,-64.795972,0.763
"1950330",18.334399,-64.795972,0.959
"1950331",18.334399,-64.795972,1.115
"1950332",18.334399,-64.795972,0.889
"1950333",18.334399,-64.795972,1.273
"1950334",18.334399,-64.795972,0.94
"1950335",18.334399,-64.795972,0.575
"1950336",18.334399,-64.795972,0.904
"1950337",18.334399,-64.795972,0.893
"1950338",18.334399,-64.795972,0.65
"1950339",18.334399,-64.795972,0.714
"1950340",18.334399,-64.795972,0.795
"1950341",18.334399,-64.795972,0.774
"1950342",18.334399,-64.795972,0.498
"1950343",18.334399,-64.795972,0.762
"1950344",18.334399,-64.795972,1.85
"1950345",18.334399,-64.795972,1.92
"1950346",18.334399,-64.795972,0.897
"1950347",18.334399,-64.795972,1.318
"1950348",18.334399,-64.795972,1.398
"1950349",18.334399,-64.795972,1.671
"1950350",18.334399,-64.795972,1.021
"1950351",18.334399,-64.795972,0.883
"1950352",18.334399,-64.795972,0.63
"1950353",18.334399,-64.795972,0.902
"1950354",18.334399,-64.795972,0.499
"1950355",18.334399,-64.795972,1.008
"1950356",18.334399,-64.795972,1.259
"1950357",18.334399,-64.795972,0
"1950358",18.334399,-64.795972,1.227
"1950359",18.334399,-64.795972,3.837
"1950360",18.334399,-64.795972,2.651
"1950361",18.334399,-64.795972,4.666
"1950362",18.334399,-64.795972,0.51
"1950363",18.334399,-64.795972,3.137
"1950364",18.334399,-64.795972,5.255
"1950365",18.334399,-64.795972,0.966
"1950366",18.334399,-64.795972,0.497
"1950367",18.334399,-64.795972,0.714
"1950368",18.334399,-64.795972,0.707
"1950369",18.334399,-64.795972,0.404
"1950370",18.334399,-64.795972,1.579
"1950371",18.334399,-64.795972,0.365
"1950372",18.334399,-64.795972,0.43
"1950373",18.334399,-64.795972,1.59
"1950374",18.334399,-64.795972,0.415
"1950375",18.334399,-64.795972,0.429
"1950376",18.334399,-64.795972,0.849
"1950377",18.334399,-64.795972,0.437
"1950378",18.334399,-64.795972,0.401
"614304",19.4308,-155.2578,0.121
"614305",19.4308,-155.2578,0.533
"614306",19.4308,-155.2578,0.157
"614307",19.4308,-155.2578,0.129
"614308",19.4308,-155.2578,6.158
"614309",19.4308,-155.2578,0.38
"614310",19.4308,-155.2578,0.185
"614311",19.4308,-155.2578,0.314
"614312",19.4308,-155.2578,0.396
"614313",19.4308,-155.2578,0.335
"614314",19.4308,-155.2578,0.225
"614315",19.4308,-155.2578,1.864
"614316",19.4308,-155.2578,2.323
"614317",19.4308,-155.2578,2.844
"614318",19.4308,-155.2578,0.343
"614319",19.4308,-155.2578,2.079
"614320",19.4308,-155.2578,0.161
"614321",19.4308,-155.2578,0.14
"614322",19.4308,-155.2578,0.1
"614323",19.4308,-155.2578,0.082
"614324",19.4308,-155.2578,0.358
"614325",19.4308,-155.2578,0.133
"614326",19.4308,-155.2578,0.796
"614327",19.4308,-155.2578,0.633
"614328",19.4308,-155.2578,1.411
"614329",19.4308,-155.2578,0.146
"614330",19.4308,-155.2578,0.283
"614331",19.4308,-155.2578,1.176
"614332",19.4308,-155.2578,2.036
"614333",19.4308,-155.2578,0.063
"614334",19.4308,-155.2578,0.175
"614335",19.4308,-155.2578,0.119
"614336",19.4308,-155.2578,0.178
"614337",19.4308,-155.2578,0.436
"614338",19.4308,-155.2578,2.332
"614339",19.4308,-155.2578,0.963
"614340",19.4308,-155.2578,0.822
